modern,old
"Hey, how are you?","Hail thee, how dost thou fare?"
Can you help me?,Canst thou aid me?
Where is the library?,"Pray, where might I find the grand library?"
Thank you for your help.,I thank thee for thy aid.
What time is it?,"Pray, what hour doth the clock strike?"
"Hello sir, can you tell me the way?","Good morrow, sir. Couldst thou direct me?"
Everything is fine.,All proceedeth well.
I am doing great today.,I fare most excellently this day.
Do you have any questions?,Dost thou have any queries?
Let us go to the market.,Let us hie to the marketplace.
